epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,981.659,0.51599,0.40215,0.96163,0.85591,0.82365,0.88459,0.63625,1.03641,0.62241,1.18553,0.000438703,0.000438703,0.000438703
72,995.233,0.51786,0.40915,0.96281,0.89412,0.81982,0.89775,0.63616,1.05091,0.61508,1.21058,0.000424556,0.000424556,0.000424556
73,1008.68,0.5135,0.39799,0.96109,0.88683,0.823,0.89815,0.63953,1.03354,0.60293,1.19093,0.000410409,0.000410409,0.000410409
74,1022.02,0.49453,0.38337,0.94933,0.89024,0.83054,0.89439,0.63244,1.02452,0.59814,1.191,0.000396262,0.000396262,0.000396262
75,1035.62,0.48262,0.37561,0.94643,0.8808,0.84102,0.89746,0.64751,1.01127,0.61664,1.17506,0.000382115,0.000382115,0.000382115
76,1049.09,0.5018,0.397,0.96532,0.87669,0.84036,0.89685,0.65075,1.01601,0.60662,1.17535,0.000367967,0.000367967,0.000367967
77,1062.71,0.49967,0.39065,0.95998,0.85537,0.85829,0.89772,0.64776,1.00892,0.59409,1.16646,0.00035382,0.00035382,0.00035382
78,1076.34,0.49533,0.39049,0.9508,0.88837,0.84889,0.904,0.66193,0.99607,0.57631,1.15942,0.000339673,0.000339673,0.000339673
79,1090.05,0.48118,0.36023,0.94519,0.88348,0.86391,0.90545,0.6629,1.00525,0.57728,1.16534,0.000325526,0.000325526,0.000325526
80,1103.71,0.47681,0.37955,0.95892,0.91189,0.85054,0.91391,0.66845,1.00172,0.56945,1.17654,0.000311379,0.000311379,0.000311379
81,1116.99,0.46012,0.36784,0.95133,0.90853,0.84968,0.90912,0.66705,0.99431,0.56588,1.17929,0.000297232,0.000297232,0.000297232
82,1130.39,0.47671,0.35921,0.95548,0.87761,0.85506,0.89906,0.6579,0.98246,0.5823,1.16315,0.000283085,0.000283085,0.000283085
83,1143.87,0.50346,0.37704,0.96801,0.90902,0.84785,0.90899,0.6658,0.98145,0.56509,1.15472,0.000268938,0.000268938,0.000268938
84,1157.31,0.44683,0.35311,0.93114,0.9114,0.86844,0.91518,0.6776,0.96941,0.54459,1.15329,0.000254791,0.000254791,0.000254791
85,1171.24,0.47188,0.36187,0.94418,0.88475,0.85719,0.91007,0.67055,0.97163,0.55566,1.15636,0.000240644,0.000240644,0.000240644
86,1184.82,0.45059,0.35144,0.94166,0.91517,0.86427,0.91403,0.67249,0.97395,0.55207,1.15253,0.000226497,0.000226497,0.000226497
87,1198.32,0.4664,0.36212,0.94614,0.91418,0.86507,0.91485,0.67367,0.96935,0.55068,1.14775,0.000212349,0.000212349,0.000212349
88,1211.92,0.43277,0.34797,0.94582,0.90295,0.8681,0.91617,0.67609,0.96469,0.54499,1.14839,0.000198202,0.000198202,0.000198202
89,1225.79,0.45162,0.35685,0.94707,0.9043,0.85293,0.91578,0.67794,0.96418,0.53837,1.15074,0.000184055,0.000184055,0.000184055
90,1239.45,0.45855,0.35312,0.93716,0.92403,0.84599,0.92074,0.68113,0.96568,0.54184,1.15291,0.000169908,0.000169908,0.000169908
91,1264.45,1.02033,0.6038,1.22808,0.91607,0.84798,0.92046,0.67335,0.98049,0.54275,1.1581,0.000155761,0.000155761,0.000155761
92,1277.47,0.99793,0.5782,1.19035,0.91012,0.86558,0.92166,0.67962,0.96011,0.53153,1.12756,0.000141614,0.000141614,0.000141614
93,1290.56,0.96241,0.55866,1.15873,0.91669,0.87234,0.92706,0.68322,0.94521,0.52208,1.11226,0.000127467,0.000127467,0.000127467
94,1303.83,0.94705,0.56008,1.1539,0.91693,0.89446,0.94158,0.69676,0.92839,0.50418,1.09767,0.00011332,0.00011332,0.00011332
95,1317.02,0.94836,0.55082,1.13319,0.91837,0.8821,0.94182,0.69468,0.92177,0.50331,1.09444,9.91726e-05,9.91726e-05,9.91726e-05
96,1330.42,0.92405,0.53058,1.12923,0.93111,0.88161,0.94143,0.70213,0.90773,0.49256,1.085,8.50255e-05,8.50255e-05,8.50255e-05
97,1344.09,0.9514,0.54537,1.14748,0.92906,0.88992,0.94462,0.71088,0.89824,0.48601,1.07804,7.08784e-05,7.08784e-05,7.08784e-05
98,1357.39,0.92061,0.54657,1.14014,0.91535,0.89904,0.94706,0.71614,0.89028,0.47903,1.07291,5.67313e-05,5.67313e-05,5.67313e-05
99,1370.89,0.90669,0.51104,1.11166,0.93967,0.88491,0.94787,0.71479,0.88717,0.47649,1.07198,4.25842e-05,4.25842e-05,4.25842e-05
100,1384.39,0.92755,0.52381,1.14347,0.94481,0.88173,0.94854,0.71649,0.88478,0.4761,1.07039,2.84371e-05,2.84371e-05,2.84371e-05
